"upload_plugin","Upload Plugin"
"clear_temp_files","Clear temporary files"
"reports","Reports"
"routes","Routes"
"all_roles","All Roles"
"add_role","Add Role"
"role_creation_error","Could not create role"
"role_save_success","Role was saved successfully"
"role_save_error","Could not save role"
"roles","Roles"
"workspaces","Workspaces"
"Username","Username"
"Password","Password"
"Forgot your password","Forgot your password"
"Your browser is not supported. Please install the latest version of one of the following browsers.","Your browser is not supported. Please install the latest version of one of the following browsers."
"Click here to proceed","Click here to proceed"
"Back to Login","Back to Login"
"Enter your username and pimcore will send a login link to your email address","Enter your username and pimcore will send a login link to your email address"
"Please check your mailbox.","Please check your mailbox."
"Login","Login"
"Submit","Submit"
"A temporary login link has been sent to your email address.","A temporary login link has been sent to your email address."
"system_performance_stability_warning","Please do not perform this action unless you are sure what you are doing.<br /><b style='color:red'>This action can have a major impact onto the stability and performance of the entire system, and may causes an overload or complete crash of the server!</b><br /><br />Are you sure?"
"use_current_player_position_as_preview","Use current player position as preview"
"select_image_preview","Select Image Preview"
"preview_not_available","Preview not available"
"status", "Status"
"video_preview_in_progress","The preview for this video is currently in progress."
"video_bitrate","Video Bitrate (kB/s)"
"audio_bitrate","Audio Bitrate (kB/s)"
"php_cli_binary_and_or_ffmpeg_binary_setting_is_missing","PHP-CLI binary or FFMPEG is not available, please ensure that both are installed/executable and configured in the system settings!"
"video_thumbnails","Video Thumbnails"
"absolute_path_to_ffmpeg_binary","Absolute path to FFMPEG binary"
"absolute_path_to_php_cli_binary","Absolute path to PHP command line binary"
"module_optional","Module (optional)"
"do_you_really_want_to_close_pimcore","Do you really want to close pimcore?"
"valid_languages_frontend_description","This settings are used in documents to specify the content language (in properties tab), for objects in localized-fields, for shared translations, ... simply everywhere the editor can choose or use a language for the content.<br />Fallback languages are currently used in object's localized fields and shared translations."
"limit_reached","Limit reached"
"maximum_items","max. items"
"drop_element_here","Drop element here"
"select_specific_area_of_image","Select specific area of image"
"insert_video_url_here","Insert video URL here"
"error_pasting_asset","Unable to paste asset"
"error_pasting_document","Unable to paste document"
"paste_recursive_updating_references","Paste recursive, updating references"
"collapsed","Collapsed"
"add_hardlink","Add Hardlink"
"source_path","Source path"
"properties_from_source","Use properties from source document"
"inherited_properties_from_source","Inherit properties from source document"
"childs_from_source","Use children from source document"
"hardlink_properties","Hard Link Settings"
"click_right_for_more_options","Click right for more options"
"clear_only_output_cache","Clear only output-cache"
"move_to_tab","Move to Tab"
"not_supported","Not supported"
"show_random_pictures_on_login_screen","Show random pictures on login screen"
"url_to_custom_image_on_login_screen","URL to custom image for the login screen"
"system_infos_and_tools","System Info & Tools"
"edit_link","Edit Link"
"view_suffix","View Suffix"
"sepia","Sepia"
"sharpen","Sharpen"
"gaussianBlur","Gaussian Blur"
"radius","Radius"
"sigma","Sigma"
"threshold","Threshold"
"trim","Trim"
"tolerance","Tolerance"
"grayscale","Grayscale"
"nothing_to_configure", "Nothing to configure"
"enter_the_name_of_the_new_thumbnail","Enter the name for the new thumbnail:"
"problem_creating_new_thumbnail","Cannot create thumbnail, please check the name! (allowed characters are a-z A-Z 0-9 _ -)"
"preview_url","Preview URL"
"opacity","Opacity"
"applymask","Apply Mask"
"addoverlay","Add Overlay"
"important_use_imagick_pecl_extensions_for_best_results_gd_is_just_a_fallback_with_less_quality","IMPORTANT: Use imagick PECL extension for best results, GDlib is just a fallback with limited functionality and less quality!"
"add_thumbnail","Add Thumbnail"
"transformations","Transformations"
"frame","Frame"
"setbackgroundcolor","Set Backgroundcolor"
"setbackgroundimage","Set Backgroundimage"
"roundcorners","Round Corners"
"resize","Resize"
"scalebyheight","Scale by Height"
"scalebywidth","Scale by Width"
"crop","Crop"
"rotate","Rotate"
"color","Color"
"positioning","Positioning"
"angle","Angle"
"label_width","Label Width"
"label_first_cell","Label First Cell"
"cleanup","Cleanup"
"this_element_cannot_be_edited","This element cannot be edited"
"cache_disable_cookies","Disable Cookies (comma separated)"
"click_here_to_proceed","Click here to proceed"
"path_to_lessc_optional","Path to lessc (optional)"
"details","Details"
"only_for_ip","Only for IP (optional)"
"extension_is_up_to_date","This extension is up-to-date."
"update_information","Update Information"
"files","Files"
"share_extension_upload_summary","The following files will be transferred to the extension hub at pimcore.org."
"number_of_files","Number of files"
"share_extension_description","You have to use regular expressions - One expression per line"
"next","Next"
"exclude_files","Exclude Files"
"collecting_download_information","Collecting Download Information"
"share","Share"
"push_update","Push Update"
"collecting_update_information","Collecting Update Information.<br />Please wait ..."
"extensions_upload_agree_text","If you share this extension this will not be automatically public to everyone. First you have the possibility to edit some details, permissions and dependencies for the plugin. After that it's on you if the extension goes public or not."
"extension_upload_proceed","I've read the above. Proceed with the upload now!"
"please_dont_forget_to_reload_pimcore_after_modifications","Please don't forget to reload pimcore, after your modifications"
"enable","Enable"
"disable","Disable"
"configure","Configure"
"download_extension","Download Extensions"
"manage_extensions","Manage Extensions"
"share_extension","Share Extensions"
"beginning_with_ending_with_optional_slash","Beginning with, ... and ending with an optional slash"
"beginning_with","Beginning with"
"matching_exact","Matching exactly"
"add_expert_mode","Add (Expert Mode)"
"add_beginner_mode","Add (Beginner)"
"cannot_save_object_please_try_to_edit_the_object_in_detail_view","<b>Cannot save object!</b><br />Please try to edit the object in the detail view."
"size","Size"
"select_a_file","Select a file"
"upload_compatibility_mode","Upload File (Compatibility Mode)"
"lowest","lowest"
"highest","highest"
"override_all","override all"
"the_system_is_in_maintenance_mode_please_wait","The system is in maintenance mode, please wait"
"activate","Activate"
"maintenance_mode","Maintenance Mode"
"translate_content_to","Translate content to"
"translate_api_key","Translate API Key"
"image_is_too_small","Image is too small, please choose a bigger one."
"new_version_available","New Version available"
"countrymultiselect","Countries (Multiselect)"
"languagemultiselect","Languages (Multiselect)"
"allow_capitals_for_documents","Allow capitals in URL"
"exif_data","EXIF Data"
"dimensions","Dimensions"
"image_details","Image Details"
"yes","Yes"
"no","No"
"allow_trailing_slash_for_documents","Allow trailing Slash in URL"
"none","None"
"name_is_not_allowed","Name is not allowed"
"system_properties","System Properties"
"localizedfields","Localized Fields"
"import_from_server","Import from Server"
"upload_files","Upload Files"
"upload_zip","Upload ZIP Archive"
"new_folder","New Folder"
"please_enter_the_name_of_the_new_folder","Please enter the name of the new folder"
"please_enter_the_name_of_the_new_file","Please enter the name of the new file"
"new_file","New File"
"document_root","Document Root"
"server_fileexplorer","Server File Explorer"
